tratamento,rep,altura
Substrato 1,1,1.2
Substrato 1,2,8.6
Substrato 1,3,8.6
Substrato 1,4,3.7
Substrato 1,5,9.9
Substrato 1,6,2.5
Substrato 1,7,6.2
Substrato 1,8,6.2
Substrato 1,9,1.2
Substrato 1,10,3.7
Substrato 2,1,2.5
Substrato 2,2,8.6
Substrato 2,3,7.4
Substrato 2,4,6.2
Substrato 2,5,9.9
Substrato 2,6,2.5
Substrato 2,7,6.2
Substrato 2,8,6.2
Substrato 2,9,1.2
Substrato 2,10,3.7
Substrato 3,1,3.7
Substrato 3,2,9.9
Substrato 3,3,11.1
Substrato 3,4,7.4
Substrato 3,5,7.4
Substrato 3,6,3.7
Substrato 3,7,6.2
Substrato 3,8,8.6
Substrato 3,9,11.1
Substrato 3,10,11.1
